nombre,direccion,longitud,latitud
OLIVOS REAL DENTAL CARE,JIRÓN JR. UCAYALI 109-201 SAN MIGUEL DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.08315394,-12.075648
CONSULTORIO ODONTOLOGICA AVANZADA,AVENIDA AV. PETIT THOUARS 2855 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0321569,-12.0917972
MEDEX,AVENIDA AV. REPUBLICA DE PANAMA 3065 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.020413,-12.093721
PETSCAN PERU - CAMNSA,AVENIDA AV. PETIT THOUARS 4340 AV. PETIT THOUARS 4340 MIRAFLORES LIMA LIMA,-77.0301856,-12.1058305
MEDICINA AVANZADA S.A.,AV. GREGORIO ESCOBEDO 560,-77.0555183,-12.0853641
ONCOSALUD,AVENIDA AV. PASEO DE LA REPUBLICA Nº 3650-3658 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.02750481,-12.10127865
BRAZZINI RADIOLOGOS ASOCIADOS,AVENIDA AV. JORGE BASADRE 223 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03426934,-12.09289011
CENTRO MEDICO JESUS MARIA,AVENIDA AV. TALARA N° 560 1ER Y 2DO PISO DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.053568,-12.0502081
DPI DEL PERU S.A.,AVENIDA AVENIDA DOS DE MAYO Nº 649,-77.0384898,-12.09134797
CENTRO DETECTOR DEL CANCER SAC,AVENIDA PRADO ESTE,-77.0188916,-12.0903631
LASER VISION CENTER & ASOCIADOS S.A.C.,AVENIDA AV. JAVIER PRADO ESTE 1066,-77.018334,-12.090558
INTEGRASALUD CONSULTORIOS MÉDICOS,AVENIDA AV. SALAVERRY 1258 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.04254664,-12.07853182
SUIZA LAB SAC,AVENIDA AV. ALFONSO UGARTE 1000-A DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.042496,-12.0520372
CENTRO ODONTOLOGICO INTEGRAL VITAL DENT SAC,AVENIDA AV. SALAVERRY 1071,-77.0453,-12.07
CLINICA SANTA LUCIA S.A.C.,AV. GUARDIA CIVIL 301,-77.00834245,-12.09144534
CLINICA INTERNACIONAL S.A.,AV. GUARDIA CIVIL N°475 MZ A4- LOTE 6,-77.0094212,-12.09346873
POLICLÍNICO PERUANO JAPONÉS,AVENIDA AV. GREGORIO ESCOBEDO NO. 783 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.054784,-12.087682
PREVENTIS SALUD,AVENIDA AV. SALAVERRY N° 1071 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0418855,-12.0760043
FAMISALUD,AVENIDA AV. AREQUIPA 4067 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03083611,-12.10618026
POLICLINICO DIVINO NIÑO JESUS,AVENIDA AV AREQUIPA Nº 2457 2DO PISO DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03343785,-12.0885928
